Performance_Review_Title,Performance_Review,Performance_Reviewer_Name,Performance_Reviewer_Location,Performance_Review_Date,Performance_Review_Likes,Performance_Review_Dislikes
perfect product,battery the battery performance has been criticised heavily,ramon varghese,thiruvananthapuram,202009,2.0,0.0
decent product,writing this geniune review after 10 days of usage battery first of all the battery problem is the huge headache in iphone se it didn t even last 5 hours for me as i just take photos and for social media usages the mobile heats up while charging and doing software updates i charge 2 times a day to use this full fledge 1 5 display it s my first iphone after using big android screens for years it s a bit difficult to adapt to small screen the photos and video pixels are top no read more,karthi keyan,nandivaram guduvancheri,202203,3.0,0.0
very good,performance is excellent thanks to the a13 bionic chipset performance is masterclass including gaming daylight camera performance is great,jishnu j,veiloor,202007,1.0,0.0
great product,performance is top class thanks to the processor,venthan,chennai,202010,0.0,0.0
value for money,i am a first time iphone user i ve been using android since android 2 3 i m still using android through samsung galaxy note 8 as my primary phone so my review should help any prospective iphone users to make the right decision overall summary a good phone to begin your iphone experience i bought it during bbd festival offer for the phone for rs28000 after discount no i didn t exchange any phone for it ordered on thursday night around 11pm phone delivered saturday afternoon pr read more,sankara raman,new delhi,202010,0.0,0.0
best in the market,phone performance is very good very fast,pankaj sehgal,dehradun,202107,6.0,1.0
best in the market,performance is top notch plays every game and every task with ease,rohit thakur,solan,202012,0.0,0.0
,performance is well packed with well coordinated gpu and cpu,prtik gaikwad,nagpur,202106,,
,it has the fastest chip in the world so performance is blazing fast,nikhil,pune,202009,,
decent product,high performance and speed,flipkart customer,koratty,202006,1.0,1.0
awesome,absolutely a charm for the price given here the a13 processor is really fast in every aspects of today s usage camera is okay and display is fine,satish kumar gouda,bengaluru,202005,1.0,0.0
fabulous,high speed performance,marian,tiruchirappalli district,202007,0.0,0.0
worth every penny,performance is very smooth and can outrun the others in this price point,santi sahoo,dhenkanal,202010,0.0,0.0
great product,grate performance,prathamesh gurav,anjarle,202011,0.0,0.0
very good,performance wise this phone is ultra first,abhirup dutta,new barrackpur,202007,560.0,102.0
highly recommended,there is no lag in performance if you shift from android to ios then you will feel the roughness in android and the smoothness in in ios,araav mohapatra,bhubaneswar,202103,0.0,0.0
mind blowing purchase,performance is awesome the phone doesn t lags at all,amit aswani,thane,202007,1.0,0.0
,mobile was compact processing and performance are excellent,mukesh kumar,coimbatore,202011,,
,with a13 bionic processor the performance is amazing,atif khatri,mumbai,202010,,
terrific,i love his performance,sagar nigam,lucknow,202010,0.0,0.0
does the job,i won t say much about ios camera performance you can check youtube for that but you as a user experience then you can refer this comment 2 performance no one can beat this phone in performance even iphone 11 you can play any game wit,mohit pasari,rishra,202011,0.0,0.0
good choice,performance is killer no lags at all,flipkart customer,bellampalle,202205,3.0,2.0
wonderful,nice handly mobile with smooth performance,ajin c das,neyyattinkara,202108,0.0,0.0
highly recommended,it s performance it never hang,flipkart customer,bidar,202010,0.0,0.0
awesome,smooth performance,ganapathy shriram,chennai,202208,0.0,0.0
classy product,smooth performance,aryan singh,mokameh,202012,11.0,3.0
very good,smooth performance amazing camera and video performance,ananyo jyoti misra,bhubaneswar,202011,0.0,0.0
fabulous,very smooth performance with a13 chip,indrajit biswas,port blair,202011,0.0,0.0
,so altogether this phone is the best phone in terms of performance and the most convenient in terms of usage,yash gupta,new delhi,202010,,
awesome,well some smartphones are just showing the numbers but not the performance well iphone se is compact and gaining its rating numbers through its performance,flipkart customer,madhurawada,202010,0.0,0.0
just okay,the phone is great and has snappy performance,abhishek srivastava,nagpur,202006,3.0,1.0
simply awesome,just wow this phone s a breeze the apple ecosystem is obviously extraordinary and with the phone s chip and ram management one wouldn t have no lag whatsoever the camera is excellent and for my usage the battery is sufficient better carry a powerbank if you re a heavy user if you want a small form factor device and doesn t want to lavishly splash money then just go for this,subhro,kolkata,202107,2.0,1.0
excellent,if you wish to enter to apple ecosystem or just wish to get to know the ios and don t wish to buy a secondhand iphone to do that then this phone is perfect option now about the phone i m android user all along and recently switched to ios and personally i m loving it ios has so less things than android but those basic small little details are taken to almost perfection but in the end operating systems are totally a matter of personal taste so it s upto you now about this device speci read more,chaitanya,pune,202008,0.0,0.0
wonderful,performance wise very nice phone and sufficient as per my basic requirement bit disappoint in terms of battery performance,vaibhav gupta,gurgaon,202008,1.0,0.0
perfect product,fast performance,rahul krishna,thiruvananthapuram district,202101,0.0,0.0
simply awesome,i am using an iphone for the first time and i love it the battery is not that bad if u r a moderate user the battery will go for around 8 hours which is quite good the feel is very premium and at this price range its the best iphone the processor is very fast and everything seems smooth and fine,siddhant hota,bhubaneswar,202106,0.0,1.0
worth every penny,awesome performance like beast,niyamathullah,kumbakonam,202104,0.0,0.0
really nice,the performance is just too good and u can seamlessly use your phone,suhas s,bengaluru,202010,0.0,0.0
perfect product,this is my second iphone and it s pretty good the performance is fast and never felt a lag,giridhar p s,bengaluru,202107,2.0,0.0
