Camera_Review_Title,Camera_Review,Camera_Reviewer_Name,Camera_Reviewer_Location,Camera_Review_Date,Camera_review_Likes,Camera_Review_Dislikes
worth every penny,1 the camera is good but the ultrawide is poor 1x is good and the 108mp works well,flipkart customer,dehradun,202307,37.0,7.0
waste of money,camera is poor only macro camera is good below 15k mobile cameras also has good clarity than this mobile camera,vishal samant,gadhinglaj,202401,2.0,0.0
good quality product,1 the cameras are good in good lighting but the low light camera performance is just average but selfi camera is very nice there are some focusing issues in the main camera,lawrence,kovilpatti,202311,7.0,2.0
terrific,the camera is really good photo quality is looked like dslr click and 108mp also works very well,satadal bhowmik,dhanbad,202310,7.0,0.0
just wow,camera both 4k font and back 10 10,flipkart customer,salem,202405,1.0,0.0
good,mainly bought this phone for camera though the camera is claimed to be 108mp but it s not good at all,alexander max,coimbatore,202402,6.0,0.0
don t waste your money,the camera quality is low and it s like a 50 mp camera with an implant,chandan bhadra,kolkata,202306,81.0,52.0
terrific purchase,camera quality and balancing is too good,aditya gupta,varanasi,202403,2.0,1.0
very good,the mobile is good but the camera is not good and captures the clear photos and videos camera is 108 mp,mohammad amzad ali,ballia,202401,2.0,3.0
,camera quality is best and srceen is also,monu raj,biharsharif,202306,,
did not meet expectations,camera is worst gor 108 megapixel,dipalee savla,vadodara,202403,2.0,0.0
awesome,the camera quality during both daylight and night are amazing as per their features,rupanjana ghosh,kolkata,202311,201.0,37.0
did not meet expectations,camera quality 4 5,sridhar naik,hyderabad,202306,55.0,37.0
awesome,osmmm camera quality,shani ranjan,buxar,202310,1.0,1.0
simply awesome,good camera and dispaly,jyoti sankar mondal,kolkata,202310,4.0,1.0
nice,normal use of camera is ok but wide angle not good when zoom picture pixalerate 108mp camera,priyall sharma,thane,202312,2.0,1.0
nice product,camera picture quality is good but not upto 108 mp ot looks like upto 10 mp as compare with smasung s ultra series,yatin sharma,gurugram,202405,0.0,0.0
very good,the camera quality is soooo gooddd,flipkart customer,madhurawada,202311,0.0,0.0
not good,camera quality not expected,nanak mukherjee,kshirpai,202306,3.0,4.0
delightful,108 camera is very good but front camera is not upto mark,nitin more,pune,202306,5.0,1.0
worst experience ever,camera is cheap like 30 mega pixels,flipkart customer,lucknow district,202312,0.0,0.0
pretty good,as a reviewer i would say that it s a good buy around 25k obviously most highlighted feature the 6000mah battery works good like if you have fully charged once then on a heavy usage you will have to charge it on next day same time when you charged previously 25 remaining since it s been 1 month i ll say i haven t faced any kind of overheating but if you play a high graphic game like standoff or pubg new state you ll experience some heating after 1 to 1 5 hrs of straight playing otherwis read more,harshik pakhru,jammu,202402,1.0,0.0
worth the money,camera 9,rajagopal paramasivam,pethanaickenpalayam,202306,4.0,0.0
worth the money,camera,ediga jayaramudu,kurnool district,202401,1.0,1.0
terrific,camera in day light is awesome camera editing features are also mind blowing,atul bhardwaj,jaipur,202311,0.0,0.0
mind blowing purchase,camera is really great vedio quality smooth,subhadip maity,nadia,202401,0.0,0.0
fair,good camera 108mp but not that impressive pics,abhishek kumar,jaipur,202404,2.0,0.0
nice product,everything is good but need to improve camera quality little bit more and missing dual sterio speaker,dinu thankachan,alappuzha,202404,0.0,0.0
terrific purchase,supper camera,flipkart customer,dakshina kannada district,202403,0.0,0.0
highly recommended,nice mobile and camera quality is good,modake vaibhav,aurangabad,20240818,0.0,0.0
excellent,the camera is excellent 108mp,flipkart customer,pune,202308,0.0,0.0
good choice,best camera and pictures quality superb,dr vaibhav,kanpur,202308,0.0,0.0
not recommended at all,camera its take more time to capture image required camera in still position othwise its become blurred specially in night mode,ajesh,hisar division,202306,28.0,17.0
good,camera quality is not as expected,rajat meena800,anand,202404,1.0,0.0
expected a better product,camera quality is average,flipkart customer,bhopal,202308,0.0,0.0
waste of money,picture and video quality is really bad camera is good for nothing,pushkar singh,greater noida,202307,1.0,1.0
highly recommended,camera quality is good,saurabh chauhan,mhow,202402,0.0,0.0
excellent,camera quality is good,sourabh rai,chhindwara,202312,1.0,0.0
awesome,camera quality is good,flipkart customer,bangalore,202311,2.0,0.0
wonderful,good camera quality,jana sinega,periyanaickenpalayam,202310,2.0,0.0
