Camera_Review_Title,Camera_Review,Camera_Reviewer_Name,Camera_Reviewer_Location,Camera_Review_Date,Camera_review_Likes,Camera_Review_Dislikes,Sentiment_Text,Sentiment,Sentiment_Score
classy product,the product is good in terms of camera quality and overall experience,manoj bedi,fatehabad,202308,15.0,1.0,classy product. the product is good in terms of camera quality and overall experience,Positive,0.5448775887489319
brilliant,especially the camera and parformence,modassir alam,simdega,202209,19.0,0.0,brilliant. especially the camera and parformence,Positive,0.8436828851699829
nice product,amaziiingg phone with great camera quality,naiina singh,new delhi,202210,9.0,4.0,nice product. amaziiingg phone with great camera quality,Positive,0.5463619828224182
awesome,the camera system on the iphone 13 is also impressive with a triple len,rajesh pandit,kalyan,202307,3.0,0.0,awesome. the camera system on the iphone 13 is also impressive with a triple len,Positive,0.8898348808288574
perfect product,it was absolutely amazing the camera is next level 4k and cinematic videography is absolutely perfect,flipkart customer,hugli district,202309,2.0,0.0,perfect product. it was absolutely amazing the camera is next level 4k and cinematic videography is absolutely perfect,Positive,0.9425988793373108
worthless,worst phone iphone 13 low camera quality,flipkart customer,malda,202209,8.0,22.0,worthless. worst phone iphone 13 low camera quality,Negative,0.9167947769165039
nice product,further camera is good speakers are immersive and overall a descent device,sachin kumar mehta,jaipur,202402,0.0,0.0,nice product. further camera is good speakers are immersive and overall a descent device,Positive,0.6615933179855347
wonderful,camera quality vivo x80 is better than iphone but some times iphone camera performace is too good,deep singh,dalmau,202301,7.0,0.0,wonderful. camera quality vivo x80 is better than iphone but some times iphone camera performace is too good,Positive,0.5683154463768005
unsatisfactory,best display best processor best camera camera quality is nxt level,hridoyan bhuyan,nagaon district,202210,7.0,13.0,unsatisfactory. best display best processor best camera camera quality is nxt level,Positive,0.49053755402565
poor quality,worst camera quality very bad in low light selfie camera looks like 10k phone camera even my last phone camera realme 7 pro was best,nikhil solanki,indore,202210,,,poor quality. worst camera quality very bad in low light selfie camera looks like 10k phone camera even my last phone camera realme 7 pro was best,Negative,0.8071603775024414
highly recommended,camera is awesome the camera system on the iphone 13 is a game changer particularly the advancements in low light photography,kaushik das,guwahati,202308,0.0,0.0,highly recommended. camera is awesome the camera system on the iphone 13 is a game changer particularly the advancements in low light photography,Positive,0.872955858707428
great product,owesome smoothness and camera quality,pravin bambale,akola,202302,1.0,0.0,great product. owesome smoothness and camera quality,Positive,0.8312011361122131
wonderful,the camera system is top notch producing beautiful and detailed photos and videos,rajeev k yadav,new delhi,202301,3.0,1.0,wonderful. the camera system is top notch producing beautiful and detailed photos and videos,Positive,0.9209047555923462
excellent,2 camera quality awesome,rupanshu choudhary,hazaribagh,202209,5.0,1.0,excellent. 2 camera quality awesome,Positive,0.9310388565063477
