Performance_Review_Title,Performance_Review,Performance_Reviewer_Name,Performance_Reviewer_Location,Performance_Review_Date,Performance_Review_Likes,Performance_Review_Dislikes,Sentiment_Text,Sentiment,Sentiment_Score
delightful,1 performance it s a beast when it comes to processing power and ram,michael salam,silchar,201810,0,0,delightful. 1 performance it s a beast when it comes to processing power and ram,Positive,0.7462432384490967
excellent,first of all i have heard many things about its display and polycarbonate fibre back but let me tell you although if it is doesn t fell like plastic it feels premium cover pros 1 camera suberb back camera and picture clarity is awsm front camera is also awsm and slo mo is exceptional 2 display the only thing concerned about its display is broader notch otherwise it also is the best in this range 3 battery 4000mah battery is enough for all your need i have bought it yesterday and si read more,ravi sharma,new delhi,201809,2,1,excellent. first of all i have heard many things about its display and polycarbonate fibre back but let me tell you although if it is doesn t fell like plastic it feels premium cover pros 1 camera suberb back camera and picture clarity is awsm front camera is also awsm and slo mo is exceptional 2 display the only thing concerned about its display is broader notch otherwise it also is the best in this range 3 battery 4000mah battery is enough for all your need i have bought it yesterday and si read more,Positive,0.750353217124939
wonderful,very smooth operation due to 845 processor and 6 gb ram photos are really good due to dual pixel 128 gb ram got at a very attractive price of 14k under exchange of my old redmi 4 overall very good package and i am happy with the phone,kshitish kumar mishra,south twenty four parganas district,201906,3,0,wonderful. very smooth operation due to 845 processor and 6 gb ram photos are really good due to dual pixel 128 gb ram got at a very attractive price of 14k under exchange of my old redmi 4 overall very good package and i am happy with the phone,Positive,0.8400267362594604
value for money,processor and smooth fluid performance,srinivas girish kumar adapa,rajahmundry,201903,0,0,value for money. processor and smooth fluid performance,Positive,0.6053180694580078
classy product,buttery smooth performance sd 845 combined with 6 gb ram and above that an optimised os pure magic,anirudh patil,pune,201809,0,0,classy product. buttery smooth performance sd 845 combined with 6 gb ram and above that an optimised os pure magic,Positive,0.7373469471931458
value for money,fast snappy performance better than decent camera good battery finicky miui single coloured notification light super fast face id that works even in the dark,hareesh nair,ghaziabad,201812,0,0,value for money. fast snappy performance better than decent camera good battery finicky miui single coloured notification light super fast face id that works even in the dark,Positive,0.48803555965423584
pretty good,i have been using this phone for the last 12 days and frankly this is the best value for money in the market right now edit edits are after 8 months of usage camera it has a 12 5 megapixel set up on the rear and 20 megapixel set up on the front it is coupled with an ai mode which for most scenarios have given the best output it is not a flagship level of camera but when we take price into account the level of a camera just amazing built quality built quality on this phone is wh read more,kunal chaudhary,secunderabad,201809,1,0,pretty good. i have been using this phone for the last 12 days and frankly this is the best value for money in the market right now edit edits are after 8 months of usage camera it has a 12 5 megapixel set up on the rear and 20 megapixel set up on the front it is coupled with an ai mode which for most scenarios have given the best output it is not a flagship level of camera but when we take price into account the level of a camera just amazing built quality built quality on this phone is wh read more,Positive,0.6770241260528564
awesome,delivery date was showing 2 days after i place the order got this delivered the next day amazing work flipkart with 6gb of ram and with a processor of snapdragon 845 this phone is smooth as butter camera quality is really good too i ran pubg and it was working smoothly even in high graphics some might say miui is a con but you will get used to it and will start loving it too it will be better if you get an anti oil smudge proof tempered glass the screen tends to get a bit oily af read more,sukrity basu,bengaluru,201903,0,0,awesome. delivery date was showing 2 days after i place the order got this delivered the next day amazing work flipkart with 6gb of ram and with a processor of snapdragon 845 this phone is smooth as butter camera quality is really good too i ran pubg and it was working smoothly even in high graphics some might say miui is a con but you will get used to it and will start loving it too it will be better if you get an anti oil smudge proof tempered glass the screen tends to get a bit oily af read more,Positive,0.6755950450897217
perfect product,performance is awesome yuh can check on youtube with high 845 processor it goes like abything,justin prince,hyderabad,201810,0,0,perfect product. performance is awesome yuh can check on youtube with high 845 processor it goes like abything,Positive,0.9094066619873047
perfect product,poco has good technical specifications and worth the investment as at cost it came in it was a very good value for money it is a beast the processor is still the best in class and with ample ram go to phone the camera is good and what i felt the photos seemed overexposed a bit battery life is decent you have to charge at once a day if you are using throughout the day,debashish patri,bangalore,201901,0,0,perfect product. poco has good technical specifications and worth the investment as at cost it came in it was a very good value for money it is a beast the processor is still the best in class and with ample ram go to phone the camera is good and what i felt the photos seemed overexposed a bit battery life is decent you have to charge at once a day if you are using throughout the day,Positive,0.4971197843551636
nice product,2 performance beast snapdragon 855 with 6gb ram,kartik kumar,panchkula,201902,0,0,nice product. 2 performance beast snapdragon 855 with 6gb ram,Positive,0.5719392895698547
fabulous,there are no words for the performance snapdragon 845 is absolutely phenomenal,balaji chiruvandhadu,hyderabad,201812,0,0,fabulous. there are no words for the performance snapdragon 845 is absolutely phenomenal,Positive,0.9389481544494629
brilliant,best performance with sd 845 chipset an 6g ram,narasimha murthy sr,bengaluru,201810,0,0,brilliant. best performance with sd 845 chipset an 6g ram,Positive,0.9379780888557434
brilliant,qualcomm snapdragon 845 is enough to discribe the performance of the phone,priyansh tiwari,lucknow,201809,0,0,brilliant. qualcomm snapdragon 845 is enough to discribe the performance of the phone,Positive,0.8142045736312866
worth every penny,performance and battery are two main points for me performance snapdragon 845 the beast when it comes to performance and i really,randhir singh,chandigarh,201810,0,0,worth every penny. performance and battery are two main points for me performance snapdragon 845 the beast when it comes to performance and i really,Positive,0.5878065824508667
worth the money,performance is just flawless obviously cause it has the best processor available in the market with 6 8 gb of ram,aman singh,lucknow,201810,0,0,worth the money. performance is just flawless obviously cause it has the best processor available in the market with 6 8 gb of ram,Positive,0.3961794078350067
best in the market,it s totally super fast and smooth in performance in any high graphic games or tasks,bhavesh bakraniya,jamnagar,201908,0,0,best in the market. it s totally super fast and smooth in performance in any high graphic games or tasks,Positive,0.9063730835914612
highly recommended,performance 9 10 sd 845 coupled with 6gb fast bus ram,pradeep b,coimbatore,201901,0,0,highly recommended. performance 9 10 sd 845 coupled with 6gb fast bus ram,Positive,0.922885537147522
terrific purchase,performance is very gud due it s powerful sd 845 processor,divyanshu sankhala,jaipur,201809,0,0,terrific purchase. performance is very gud due it s powerful sd 845 processor,Positive,0.8795957565307617
