Battery_Review_Title,Battery_Review,Battery_Reviewer_Name,Battery_Reviewer_Location,Battery_Review_Date,Battery_Review_Likes,Battery_Review_Dislikes,Sentiment_Text,Sentiment,Sentiment_Score
wonderful,120hz display is fabulous but it consumes more battery,flipkart customer,bengaluru,202003,0,0,wonderful. 120hz display is fabulous but it consumes more battery,Positive,0.5463247895240784
simply awesome,120 hz consume more battery but at 60 hz battery performance is really good,akshay vasagadekar,pune,202008,1,0,simply awesome. 120 hz consume more battery but at 60 hz battery performance is really good,Positive,0.7721796631813049
expected a better product,there s is not much battery performance,flipkart customer,kottayam,202010,0,0,expected a better product. there s is not much battery performance,Neutral,0.4605392813682556
good,the mobile is good but most important thing is battery which drain very fastly,ritesh lodha,mandasur,202008,0,0,good. the mobile is good but most important thing is battery which drain very fastly,Positive,0.46548187732696533
mind blowing purchase,battery back upnis a bit low but more better than my previous one lenovo k6 power 4000mah,rahul joy,idukki district,202010,0,0,mind blowing purchase. battery back upnis a bit low but more better than my previous one lenovo k6 power 4000mah,Positive,0.5663992166519165
mind blowing purchase,before buying this phone i was worried about its battery performance because i watched rating of battery performance on flipkart but when i started using i got different experience of display quality camera battery gameplay and sound quality its battery is really very improved after update and day by day it s improving more,rajeshkumar bhoi,anand,202005,4,0,mind blowing purchase. before buying this phone i was worried about its battery performance because i watched rating of battery performance on flipkart but when i started using i got different experience of display quality camera battery gameplay and sound quality its battery is really very improved after update and day by day it s improving more,Positive,0.5261281728744507
very good,battery drain is much more faster when on 120 hz refresh rate but on 60 hz battery drain is not that drastic and lasts longer,tushu bhakre,nagpur,202008,0,0,very good. battery drain is much more faster when on 120 hz refresh rate but on 60 hz battery drain is not that drastic and lasts longer,Positive,0.7509157657623291
brilliant,battery,veera kuraloaviyan,tiruchirappalli,202008,0,0,brilliant. battery,Positive,0.8040593266487122
perfect product,mobile perforamce is to good and battery backup it s so awesome and charging speed is to fast,kiran bagul,nashik,202010,0,0,perfect product. mobile perforamce is to good and battery backup it s so awesome and charging speed is to fast,Positive,0.8878632187843323
moderate,poor battery performance,jobins benny,new delhi,202010,0,0,moderate. poor battery performance,Negative,0.5344011783599854
very good,average battery performance,sohel rahman,bangalore,202003,1,1,very good. average battery performance,Positive,0.6417052149772644
decent product,battery the only issue with the phone is its battery the update kinda made to drain battery fast,tarun patel,dehradun,202007,0,0,decent product. battery the only issue with the phone is its battery the update kinda made to drain battery fast,Positive,0.518348217010498
excellent,general performance good noticed a bit of lag a couple of times but that wasn t a big problem and was resolved after update 4 5 5 rear camera great performance in daylight above average in low light portrait mode is good macro shots are average 4 5 5 front camera average 3 5 5 display superb 120hz refresh rate gives an amazing experience 4 5 5 design good i purchased the phoenix red version and it looks very stylish 4 5 fingerprint sensor very good very fast sensor locatio read more,saurabh joshi,haldwani,202005,2,0,excellent. general performance good noticed a bit of lag a couple of times but that wasn t a big problem and was resolved after update 4 5 5 rear camera great performance in daylight above average in low light portrait mode is good macro shots are average 4 5 5 front camera average 3 5 5 display superb 120hz refresh rate gives an amazing experience 4 5 5 design good i purchased the phoenix red version and it looks very stylish 4 5 fingerprint sensor very good very fast sensor locatio read more,Positive,0.4996863305568695
worth the money,camera 5 5 i will say this is the best camera phone under this price point selfie camera is also awesome and great night mode camera beat every phone in this segment last one taken at 10 30pm pro mode low light camera is also great you can manually control focus in potrait mode see samples performance 5 5 snapdragon 730g perform very well in this pocox2 you can play pubg free fire and any other game without any kind of lag you can get 60fps easily display 5 5 6 67inch huge read more,durlav maity,kolkata,202006,65,9,worth the money. camera 5 5 i will say this is the best camera phone under this price point selfie camera is also awesome and great night mode camera beat every phone in this segment last one taken at 10 30pm pro mode low light camera is also great you can manually control focus in potrait mode see samples performance 5 5 snapdragon 730g perform very well in this pocox2 you can play pubg free fire and any other game without any kind of lag you can get 60fps easily display 5 5 6 67inch huge read more,Positive,0.852790117263794
great product,battery its draining more than usual,rakesh roshan,chennai,202003,0,0,great product. battery its draining more than usual,Positive,0.7486093640327454
nice product,battery draining very fast and also battery charging very fast,sharath kumar k,madhur,202006,1,0,nice product. battery draining very fast and also battery charging very fast,Positive,0.5258564352989197
delightful,battery performance above avg when i use 120hz refresh rate it consumes more battery,mohnesh kumar,chennai,202008,1,0,delightful. battery performance above avg when i use 120hz refresh rate it consumes more battery,Positive,0.6568989157676697
great product,i will not talk about the specifications or compare them and other commonly discussed things in reviews i will mention about the things that seem very good about this phone at this price range the phone is super smooth to use and is absolutely a beast with 8 gigs of ram combined with a stunning large display it is awesome to use in the full screen mode and it has good colour rendering for a normal lcd display the phone is heavy but you can easily get used to it the camera is good as hy read more,hari r,kumarapalayam,202005,8,1,great product. i will not talk about the specifications or compare them and other commonly discussed things in reviews i will mention about the things that seem very good about this phone at this price range the phone is super smooth to use and is absolutely a beast with 8 gigs of ram combined with a stunning large display it is awesome to use in the full screen mode and it has good colour rendering for a normal lcd display the phone is heavy but you can easily get used to it the camera is good as hy read more,Positive,0.8212108612060547
mind blowing purchase,this is a camera centric phone if you want better photos than oneplus 7t but you don t have budget go for this one blindly this sony imx 686 is a beast in every aspect i m gonna discuss it s pros and cons pros 1 camera wide ultrawide macro portrait nightsite foucs peaking raw shooting etc 2 120hz this phone is just buttery smooth in every aspect main reason is its display i d suggest change the theme to google pixels theme for abetter and smooth e read more,swarup majumder,kolkata,202003,1,0,mind blowing purchase. this is a camera centric phone if you want better photos than oneplus 7t but you don t have budget go for this one blindly this sony imx 686 is a beast in every aspect i m gonna discuss it s pros and cons pros 1 camera wide ultrawide macro portrait nightsite foucs peaking raw shooting etc 2 120hz this phone is just buttery smooth in every aspect main reason is its display i d suggest change the theme to google pixels theme for abetter and smooth e read more,Negative,0.2663038671016693
good quality product,1 battery life sucks if you use it at 120hz doesn t even last for a day hope poco releases an update for optimising battery,flipkart customer,vijayawada,202003,1,0,good quality product. 1 battery life sucks if you use it at 120hz doesn t even last for a day hope poco releases an update for optimising battery,Neutral,0.288930743932724
useless product,battery drains so fast 3 to 4 hours of normal use and battery is dead don t even think about playing pubg or other games if you need battery all day,suyash maindargi,pimpri chinchwad,202006,3,0,useless product. battery drains so fast 3 to 4 hours of normal use and battery is dead don t even think about playing pubg or other games if you need battery all day,Negative,0.8815337419509888
terrific purchase,battery 3 5 of battery,bhaskar chakravorty,ghaziabad,202003,1,0,terrific purchase. battery 3 5 of battery,Positive,0.8881235122680664
classy product,battery very good back up,flipkart customer,bhiwani,202005,1,0,classy product. battery very good back up,Positive,0.5875797271728516
does the job,battery it drained very fast,pynhunborlang lyngdoh,shillong,202008,0,0,does the job. battery it drained very fast,Neutral,0.4919832646846771
nice product,decent battery life battery life is poor in 120 hz setup,flipkart customer,jamuhan,202005,0,0,nice product. decent battery life battery life is poor in 120 hz setup,Positive,0.5099350214004517
brilliant,good battery backup wonderful performence,gopi gk,chennai,202010,0,0,brilliant. good battery backup wonderful performence,Positive,0.8146131634712219
value for money,battery actually drains fast,aashif ikbal ahmed,golaghat district,202006,0,0,value for money. battery actually drains fast,Neutral,0.3218173086643219
nice product,battery neet to optimize,tanay biswas,ranaghat,202003,0,0,nice product. battery neet to optimize,Positive,0.5027688145637512
good quality product,but the battery is worst,madhumohanlal jarupula,hyderabad,202006,0,0,good quality product. but the battery is worst,Neutral,0.49696993827819824
fair,3 battery is draining super fast speed poco please do something for battery,narendra soni,bharuch,202006,0,0,fair. 3 battery is draining super fast speed poco please do something for battery,Neutral,0.4049704372882843
mind blowing purchase,battery well after first day use you can t judge it s battery until it finishes it s updated display it s awesome notch look cool 120 herz is just smooth but avoid it if you want to save battery,yogesh pareek,sidcul haridwar,202006,0,0,mind blowing purchase. battery well after first day use you can t judge it s battery until it finishes it s updated display it s awesome notch look cool 120 herz is just smooth but avoid it if you want to save battery,Positive,0.392225444316864
