Camera_Review_Title,Camera_Review,Camera_Reviewer_Name,Camera_Reviewer_Location,Camera_Review_Date,Camera_review_Likes,Camera_Review_Dislikes,Sentiment_Text,Sentiment,Sentiment_Score
must buy,camera is perfect,flipkart customer,durg,202302,314.0,51.0,must buy. camera is perfect,Positive,0.9080608487129211
great product,from camera to performance every aspect of the phone is top notch the in hand feel of the phone and the camera quality is just awesome,rathindra nath setua,rourkela,20240805,3.0,0.0,great product. from camera to performance every aspect of the phone is top notch the in hand feel of the phone and the camera quality is just awesome,Positive,0.9042751789093018
pretty good,back camera gives high saturation photos sometimes lags are shown while switch on the camera,priyanshu uniyal,dehradun,202405,0.0,6.0,pretty good. back camera gives high saturation photos sometimes lags are shown while switch on the camera,Positive,0.6790525913238525
simply awesome,i have been using this mobile for a while now here s my honest review based on my experience battery performance the battery life on this mobile is quite impressive under moderate usage it easily lasts a full day however i noticed that when using the 5g network the battery drains heavily this is common for all phones not a samsung issue design and build the slim design of the mobile is a major plus point it fells comfortable to hold and is suitable for single hand usage however read more,bijith thadathil,ernakulam,202306,16.0,3.0,simply awesome. i have been using this mobile for a while now here s my honest review based on my experience battery performance the battery life on this mobile is quite impressive under moderate usage it easily lasts a full day however i noticed that when using the 5g network the battery drains heavily this is common for all phones not a samsung issue design and build the slim design of the mobile is a major plus point it fells comfortable to hold and is suitable for single hand usage however read more,Positive,0.4836111068725586
delightful,great smartphone the camera quality is certainly one of the best aspects of this smartphone,vaibhav gautam,shimla,202405,0.0,1.0,delightful. great smartphone the camera quality is certainly one of the best aspects of this smartphone,Positive,0.8532543182373047
awesome,camera quality is fantastic and better than iphone 13 or iphone 14,tanumay misra,kolkata,202406,9.0,3.0,awesome. camera quality is fantastic and better than iphone 13 or iphone 14,Positive,0.9168205261230469
best in the market,camera quality is impressive especially portait mode the quality of images are similar to dslr camera,flipkart customer,hyderabad,202306,6.0,1.0,best in the market. camera quality is impressive especially portait mode the quality of images are similar to dslr camera,Positive,0.7805832624435425
brilliant,the camera quality is magnificent and the overall experience is good,harshit pawar,nagpur,202405,1.0,0.0,brilliant. the camera quality is magnificent and the overall experience is good,Positive,0.8524109721183777
great product,really loved it best compact phone and camera quality really good especially portrait mode,muhammed aslam,kondotty,202405,3.0,1.0,great product. really loved it best compact phone and camera quality really good especially portrait mode,Positive,0.8236362338066101
worth every penny,camera 4,raga flipkart,bengaluru,202305,3.0,1.0,worth every penny. camera 4,Positive,0.7224109172821045
wonderful,camera quality excellent in the segment,atul hande,akola,202305,2.0,0.0,wonderful. camera quality excellent in the segment,Positive,0.8325178623199463
perfect product,the camera is superb,dsp a,hyderabad,202405,1.0,0.0,perfect product. the camera is superb,Positive,0.9169905185699463
nice product,camera s potrait and zoom pictures are excellent,flipkart customer,mumbai,202304,12.0,2.0,nice product. camera s potrait and zoom pictures are excellent,Positive,0.6293957233428955
good quality product,the camera quality is superb,parth shah,vadodara,0,0.0,0.0,good quality product. the camera quality is superb,Positive,0.5924926996231079
awesome,camera quality woww 5,rahul singh,najibabad,202403,11.0,1.0,awesome. camera quality woww 5,Positive,0.9268319010734558
perfect product,camera and dispaly is very good,rajmal menariya,ranga reddy,202403,0.0,0.0,perfect product. camera and dispaly is very good,Positive,0.8624675869941711
good choice,camera awesome,souvik sarkar,siliguri,202303,3.0,0.0,good choice. camera awesome,Positive,0.6818948984146118
good choice,camera quality is awesome,sagar rendalkar,uran islampur,20240809,0.0,0.0,good choice. camera quality is awesome,Positive,0.6459638476371765
good choice,camera quality is awesome,flipkart customer,talegaon dabhade,202406,0.0,0.0,good choice. camera quality is awesome,Positive,0.6459638476371765
worth every penny,the portrait camera of the s23 is undoubtedly exceptional surpassing my expectations for a smartphone camera it delivers mirrorless camera like quality,rak m,viluppuram district,202405,3.0,0.0,worth every penny. the portrait camera of the s23 is undoubtedly exceptional surpassing my expectations for a smartphone camera it delivers mirrorless camera like quality,Positive,0.8249475359916687
worth every penny,camera quality is spot on,flipkart customer,pune,202404,4.0,1.0,worth every penny. camera quality is spot on,Positive,0.706522524356842
must buy,camera quality is top notch,flipkart customer,new delhi,202308,0.0,0.0,must buy. camera quality is top notch,Positive,0.8914814591407776
classy product,it was a small king from samsung the camera quality is really good the images are captured as such not a exposed one,subhash s s,thidanad,202405,1.0,0.0,classy product. it was a small king from samsung the camera quality is really good the images are captured as such not a exposed one,Positive,0.5050818920135498
good choice,wish the camera shutter speed would be shorter but really nice camera quality,abhin grace thomas,bengaluru,0,1.0,0.0,good choice. wish the camera shutter speed would be shorter but really nice camera quality,Positive,0.6915631294250488
pretty good,camera quality is superbbb,shubham bishnoi,ganganagar district,0,0.0,1.0,pretty good. camera quality is superbbb,Positive,0.644944429397583
simply awesome,really good camera setup,manindra bisht,ranikhet,202308,8.0,1.0,simply awesome. really good camera setup,Positive,0.8540626168251038
awesome,best design compact size symmetrical bazels very bright display clean back camera module cameras cameras are good enough loved to get back dual camera under director mode,krishan kant,new delhi,202308,3.0,1.0,awesome. best design compact size symmetrical bazels very bright display clean back camera module cameras cameras are good enough loved to get back dual camera under director mode,Positive,0.796128511428833
simply awesome,camera quality is good but coming on to the video quality and the 30x zoom not upto the level,harikrishnan k p,palakkad,20240813,5.0,0.0,simply awesome. camera quality is good but coming on to the video quality and the 30x zoom not upto the level,Positive,0.48469439148902893
super,camera is decent 3x optical zoom and 30x digital zoom,alok raj,golaghat,202304,10.0,1.0,super. camera is decent 3x optical zoom and 30x digital zoom,Positive,0.6137760281562805
,camera 5 5 can beat iphone 15 too and it easily beats iphone 14 camera,flipkart customer,mysuru,0,,,. camera 5 5 can beat iphone 15 too and it easily beats iphone 14 camera,Positive,0.5474679470062256
good choice,the most i love about this phone is the camera,ramesh teron,dokmoka,20240811,0.0,0.0,good choice. the most i love about this phone is the camera,Positive,0.4770202934741974
simply awesome,camera app is almost pixelque eventhough it can t outperform pixel,murukesh murali,bharatpur,202303,0.0,2.0,simply awesome. camera app is almost pixelque eventhough it can t outperform pixel,Positive,0.8028340935707092
simply awesome,1 camera 5 out of 5 the ultrawide camera can get a little work done because in some environment photos seems a little dark then main camera,flipkart customer,new delhi,202403,4.0,0.0,simply awesome. 1 camera 5 out of 5 the ultrawide camera can get a little work done because in some environment photos seems a little dark then main camera,Positive,0.6193729639053345
must buy,camera quality is like dslr,manish kumar,lucknow,202303,1791.0,329.0,must buy. camera quality is like dslr,Positive,0.8202939629554749
brilliant,camera is stunning,amaljith nair,thiruvalla,202305,0.0,0.0,brilliant. camera is stunning,Positive,0.8952573537826538
simply awesome,camera and mainly video quality beats apple,hemanth rao,bengaluru,202303,77.0,14.0,simply awesome. camera and mainly video quality beats apple,Positive,0.8543769717216492
worst experience ever,1 no doubt superb camera,manish yadav,pune,202303,37.0,107.0,worst experience ever. 1 no doubt superb camera,Negative,0.9170209765434265
terrific purchase,camera quality is very nice,flipkart customer,ponneri,202406,7.0,0.0,terrific purchase. camera quality is very nice,Positive,0.8841612339019775
good quality product,camera is one of the best in the industry,sanjeev bala,kolkata,202310,0.0,1.0,good quality product. camera is one of the best in the industry,Positive,0.6795843243598938
,the camera quality of s20 is better than s23,poonam rai,darjeeling,20240810,,,. the camera quality of s20 is better than s23,Positive,0.38010403513908386
