Latitude,Longitude,Battery_Reviewer_Location,Sentiment,Battery_Reviewer_Name
12.9767936,77.590082,bengaluru,Positive,nagaraju td
13.0,77.583333,bangalore urban,Negative,flipkart customer
13.0836939,80.270186,chennai,Positive,guna madhesh
14.4752936,78.8216861,kadapa,Positive,siva teja
16.25537975,76.16241239305451,muddebihal,Positive,suresh nalatwad
16.2853547,80.56861427693647,guntur district,Negative,flipkart customer
17.0050454,81.7804732,rajahmundry,Positive,flipkart customer
17.360589,78.4740613,hyderabad,Positive,"sai chaitanya krishna reddy, flipkart customer, sai chandu royal"
18.2018461,79.3956971,huzurabad,Positive,varunreddy uppula
18.5213738,73.8545071,pune,Positive,"supriya bhagat, amey deshpande"
18.6279288,73.8009829,pimpri chinchwad,Positive,akash more
19.0308262,73.0198537,navi mumbai,Positive,manish bharadwaj
19.1943294,72.9701779,thane,Positive,alpesh soni
19.2015607,73.2004771,ambarnath,Neutral,flipkart customer
20.0429079,74.4880389,yeola,Positive,shubham nagare
20.835149350000002,85.60223048169827,dhenkanal district,Positive,subham behera
21.04746095,77.05527606973357,akot,Positive,rehan shaikh
21.5892323,85.66878413736906,kendujhar,Positive,ashutosh mohapatra
21.7543725,70.6189391,jetpur,Positive,jogi gaurang
22.2973142,73.1942567,vadodara,Positive,mahim chauhan
22.4538505,86.9949477,jhargram,Positive,bapi bhattacharya
22.5555977,75.7709215,mhow,Positive,arvind patel
22.5726459,88.3638953,kolkata,Positive,sambuddha sanyal
24.75,84.5,aurangabad,Positive,dipak rathod
25.6093239,85.1235252,patna,Positive,md shabbir
25.7967065,82.4888992436659,jaunpur,Positive,abhishek kumar
26.6677977,83.364233378331,gorakhpur,Positive,deepak prajapati
28.4670734,77.5137649,greater noida,Positive,neeraj kumar
28.6138954,77.2090057,new delhi,Negative,dushyant kumar
28.6138954,77.2090057,new delhi,Positive,"sunil raturi, sanjay verma"
28.7678881,77.46066723508514,ghaziabad,Negative,divyanshu singh
29.82231125,76.3790553562613,kaithal,Positive,abhishek mishra
30.1231349,77.286329,yamunanagar,Positive,flipkart customer
32.518429,76.23086565661742,chamba,Positive,sudhir kumar ghadai
39.913451,9.185837,adoni,Negative,ranga swamy bk
