Latitude,Longitude,Camera_Reviewer_Location,Sentiment,Camera_Reviewer_Name
8.4901972,77.0378323,malayinkeezhu,Positive,flipkart customer
9.740204,76.33246715541219,cherthala,Positive,govind prabhu
10.91564885,79.80694879844232,puducherry,Negative,flipkart customer
11.0018115,76.9628425,coimbatore,Neutral,amit roy
12.9767936,77.590082,bengaluru,Positive,"basavaraj swamy, marcus gonsalvez"
12.98815675,77.62260003796,bangalore,Positive,vikash kumar
13.0836939,80.270186,chennai,Positive,praveen kumar
16.1693033,74.8224338,gokak,Negative,flipkart customer
16.5087573,80.6185089,vijayawada,Positive,sai
16.8102437,81.526592,tadepalligudem,Positive,srinivas
17.360589,78.4740613,hyderabad,Positive,mohd hussain
18.35159075,76.75542361334745,latur,Negative,flipkart customer
18.6279288,73.8009829,pimpri chinchwad,Positive,sandip pawar
18.78453,74.28154,ranjangaon midc,Positive,flipkart customer
19.0308262,73.0198537,navi mumbai,Negative,arjun tilok
19.1943294,72.9701779,thane,Positive,mahadev kolambkar
20.74978325,83.44097217446247,balangir,Positive,preeti jani
22.36001185,87.41115051140771,paschim medinipur district,Neutral,naim khan
22.5,88.666667,north twenty four parganas district,Positive,jahangir mudi
22.5726459,88.3638953,kolkata,Neutral,pankaj bhandari
22.591149,88.3912585,bidhan nagar,Positive,sujit chakraborty
22.6207446,88.3392327,liluah,Positive,raja dey
23.388408849999998,87.96067626428223,purba bardhaman,Positive,subhodeep pal
23.5,73.25,sabar kantha district,Negative,flipkart customer
23.9630448,86.8027604,jamtara,Neutral,tirthdeo sikdar
24.2594977,72.1803348,deesa,Positive,jayesh prajapati
24.2966075,87.835306,nalhati,Positive,ubaidur rahaman
24.786306,84.41448983395554,aurangabad,Negative,omkar gosavi
24.7964355,85.0079563,gaya,Neutral,aman raj
25.4381302,81.8338005,prayagraj,Negative,azazul haq
25.4381302,81.8338005,prayagraj,Positive,prashant singh
25.77478845,85.867231389952,samastipur district,Positive,ashutosh kumar
26.082989949999998,86.03249509324232,darbhanga,Positive,nitin kumar jha
26.1805978,91.753943,guwahati,Negative,tridip kalita
28.4646148,77.0299194,gurugram,Positive,shubham tiwari
28.4670734,77.5137649,greater noida,Positive,puru pratap singh
28.5706333,77.3272147,noida,Positive,sankalp singh
28.6933239,76.9332373,bahadurgarh,Neutral,rahul sharma
29.6930173,75.51830682613976,ratia,Neutral,jatin jangra
